tipo_linha,produto,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url
produto,SORGO,2024/25,2025/26,1632.0,1823.7,11.7,3739.1359068627457,3670.8337994187636,-1.8,6102.200000000001,6694.5,9.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
agregado_produto,SUBTOTAL,2024/25,2025/26,78378.5,79991.5,2.1,4365.0,4304.0,-1.4,342100.22000000003,344255.32,0.6,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,AVEIA,2024/25,2025/26,545.8,509.0,-6.7,2368.0,2253.0,-4.9,1292.3000000000002,1146.7,-11.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,CANOLA,2024/25,2025/26,211.9,275.7,30.1,1627.0,1620.0,-0.4,344.8,446.5,29.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,CENTEIO,2024/25,2025/26,2.1,2.1,0.0,2381.0,2238.0,-6.0,5.0,4.7,-6.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,CEVADA,2024/25,2025/26,139.2,149.9,7.7,4358.0,3898.0,-10.6,606.6,584.3000000000001,-3.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,TRIGO,2024/25,2025/26,2445.9,2318.3,-5.2,3219.0,2978.0,-7.5,7873.4,6904.799999999999,-12.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,TRITICALE,2024/25,2025/26,11.4,11.4,0.0,3211.0,2947.0,-8.2,36.6,33.6,-8.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
agregado_produto,SUBTOTAL,2024/25,2025/26,3356.3,3266.4,-2.7,3027.0,2792.0,-7.8,10158.7,9120.6,-10.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
agregado_produto,BRASIL (2),2024/25,2025/26,81734.8,83257.9,1.9,4310.0,4244.0,-1.5,352258.92000000004,353375.92,0.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
