tipo_linha,produto,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url,variacao_area_pct_calc,variacao_produtividade_pct_calc,variacao_producao_pct_calc,participacao_producao_pct,crescimento_producao_mil_t,crescimento_area_mil_ha,crescimento_produtividade_kg_ha,classificacao_decomposicao,ranking_produto_producao
produto,Caupi,2024/25,2025/26,43.8,51.8,18.3,721.2260273972603,694.6872586872588,-3.7,31.6,36.0,13.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,18.264840182648403,-3.6796742909811253,13.924050632911387,0.010187451369068951,4.399999999999999,8.0,-26.538768710001477,expansao por area,35.0
produto,GERGELIM,2024/25,2025/26,608.0,608.0,0.0,656.7940789473683,656.7940789473683,0.0,399.4,399.4,0.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.0,0.0,0.0,0.11302411324461496,0.0,0.0,0.0,estabilidade aproximada,30.0
produto,GIRASSOL,2024/25,2025/26,61.900000000000006,63.8,3.1,1622.1825525040383,1606.7570532915358,-1.0,100.4,102.5,2.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,3.0694668820678372,-0.9509101912538337,2.0916334661354523,0.029005937925821318,2.0999999999999943,1.8999999999999915,-15.425499212502473,expansao por area,34.0
produto,MAMONA,2024/25,2025/26,69.6,76.1,9.3,1437.1724137931035,1935.672798948752,34.7,100.02,147.32000000000002,47.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,9.339080459770116,34.686192162564915,47.2905418916217,0.04168931488031217,47.300000000000026,6.5,498.5003851556485,expansao combinada,33.0
produto,MILHO TOTAL,2024/25,2025/26,21838.0,22525.6,3.1,6463.851909515524,6146.257586923323,-4.9,141157.6,138448.2,-1.9,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,3.1486399853466365,-4.913391071423931,-1.9194148951243106,39.17873068430923,-2709.399999999994,687.5999999999985,-317.594322592201,queda por produtividade,4.0
produto,Milho 1ª Safra,2024/25,2025/26,3772.6,4043.7,7.2,6609.654959444413,6602.901352721517,-0.1,24935.8,26700.300000000003,7.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,7.186025552669244,-0.1021779013327544,7.076171608691134,7.555777994154216,1764.5000000000036,271.0999999999999,-6.75360672289662,expansao por area,6.0
produto,Milho 2ª Safra,2024/25,2025/26,17430.3,17894.100000000002,2.7,6496.067090067297,6106.075102966898,-6.0,113228.4,109262.7,-3.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.660883633672415,-6.003509226324176,-3.5023898597878245,30.91967896397695,-3965.699999999997,463.8000000000029,-389.99198710039855,queda por produtividade,5.0
produto,Milho 3ª Safra,2024/25,2025/26,635.1,587.8,-7.4,4713.612816879231,4228.086423953727,-10.3,2993.6,2485.3,-17.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-7.447646039993712,-10.300514950800723,-16.979556386958837,0.7033020246540852,-508.2999999999997,-47.30000000000007,-485.5263929255043,queda combinada,15.0
produto,SOJA,2024/25,2025/26,47346.1,48434.4,2.3,3621.845888045688,3674.764064383992,1.5,171480.5,177985.0,3.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.2986053761555927,1.4610830491978246,3.793142660535746,50.367042553437145,6504.5,1088.300000000003,52.918176338303965,expansao combinada,3.0
produto,SORGO,2024/25,2025/26,1632.0,1823.7,11.7,3739.1359068627457,3670.833799418764,-1.8,6102.200000000001,6694.5,9.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,11.746323529411768,-1.8266815955692097,9.70633542001244,1.894441477506447,592.2999999999993,191.70000000000005,-68.30210744398164,expansao por area,11.0
agregado_produto,SUBTOTAL,2024/25,2025/26,78378.5,79991.5,2.1,4365.0,4304.0,-1.4,342100.22000000003,344255.32,0.6,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,2.0579623238515663,-1.3974799541809853,0.6299615942953725,,2155.0999999999767,1613.0,-61.0,expansao por area,2.0
produto,AVEIA,2024/25,2025/26,545.8,509.0,-6.7,2368.0,2253.0,-4.9,1292.3000000000002,1146.7,-11.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-6.742396482227915,-4.856418918918918,-11.26673373055793,0.3244986245808713,-145.60000000000014,-36.799999999999955,-115.0,queda combinada,19.0
produto,CANOLA,2024/25,2025/26,211.9,275.7,30.1,1627.0,1620.0,-0.4,344.8,446.5,29.5,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,30.108541764983478,-0.43023970497848807,29.495359628770295,0.12635269545248018,101.69999999999999,63.79999999999998,-7.0,expansao por area,27.0
produto,CENTEIO,2024/25,2025/26,2.1,2.1,0.0,2381.0,2238.0,-6.0,5.0,4.7,-6.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.0,-6.005879882402352,-5.9999999999999964,0.001330028373184002,-0.2999999999999998,0.0,-143.0,queda por produtividade,39.0
produto,CEVADA,2024/25,2025/26,139.2,149.9,7.7,4358.0,3898.0,-10.6,606.6,584.3000000000001,-3.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,7.686781609195416,-10.555300596603946,-3.676228156940316,0.16534799541519413,-22.299999999999955,10.700000000000017,-460.0,queda por produtividade,25.0
produto,TRIGO,2024/25,2025/26,2445.9,2318.3,-5.2,3219.0,2978.0,-7.5,7873.4,6904.799999999999,-12.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-5.216893577006415,-7.486797141969556,-12.3021820306348,1.9539531725874244,-968.6000000000004,-127.59999999999991,-241.0,queda combinada,10.0
produto,TRITICALE,2024/25,2025/26,11.4,11.4,0.0,3211.0,2947.0,-8.2,36.6,33.6,-8.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,0.0,-8.221737776393647,-8.19672131147541,0.009508287944464355,-3.0,0.0,-264.0,queda por produtividade,36.0
agregado_produto,SUBTOTAL,2024/25,2025/26,3356.3,3266.4,-2.7,3027.0,2792.0,-7.8,10158.7,9120.6,-10.2,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,-2.678544826147844,-7.763462173769408,-10.218827212143289,,-1038.1000000000004,-89.90000000000009,-235.0,queda combinada,9.0
agregado_produto,BRASIL (2),2024/25,2025/26,81734.8,83257.9,1.9,4310.0,4244.0,-1.5,352258.92000000004,353375.92,0.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx,1.8634657453128793,-1.531322505800464,0.31709629950603996,,1116.9999999999418,1523.0999999999913,-66.0,expansao por area,1.0
